property_type,price,location,city,baths,bedrooms,Area_in_Marla
House,14000000,F-17,Islamabad,6,4,7.0
Flat,3965000,I-12,Islamabad,2,2,4.2
Flat,7800000,F-10,Islamabad,2,2,5.8
House,30000000,Bahria Town,Islamabad,7,6,10.0
House,21000000,Bahria Town,Islamabad,6,5,10.0
Flat,8000000,Bahria Town,Islamabad,2,2,6.1
House,17600000,Bahria Town,Lahore,6,5,10.0
House,17500000,Bahria Town,Lahore,6,5,10.0
House,35000000,Askari,Lahore,5,4,17.0
House,22000000,Askari,Lahore,5,4,10.0
House,23500000,Askari,Lahore,6,5,10.0
House,41500000,Askari,Lahore,6,5,20.0
House,23000000,Askari,Lahore,5,4,10.0
House,20500000,Askari,Lahore,4,3,10.0
House,21000000,Askari,Lahore,4,3,10.0
House,19200000,Architects Engineers Housing Society,Lahore,7,5,10.0
House,7700000,Paragon City,Lahore,4,3,4.0
House,21500000,DHA Defence,Lahore,5,4,10.0
House,11800000,Bahria Town,Lahore,4,3,5.0
House,26500000,DHA Defence,Lahore,5,4,14.0
House,12500000,Samanabad,Lahore,3,2,5.5
House,36000000,Askari,Lahore,5,4,17.0
House,36000000,DHA Defence,Lahore,6,5,20.0
House,20000000,Bahria Town,Lahore,7,5,10.0
House,6000000,Allama Iqbal Town,Lahore,2,3,2.0
House,5500000,Allama Iqbal Town,Lahore,2,3,2.0
House,35000000,DHA Defence,Lahore,6,5,20.0
House,22500000,Askari,Lahore,5,5,10.0
House,22500000,Askari,Lahore,5,4,10.0
House,23500000,Askari,Lahore,4,4,10.0
House,15500000,Allama Iqbal Town,Lahore,5,5,8.2
House,37000000,Askari,Lahore,5,4,17.0
House,28000000,Askari,Lahore,4,4,12.0
House,23500000,Askari,Lahore,5,4,10.0
House,22000000,Askari,Lahore,6,5,10.0
House,21500000,Askari,Lahore,5,4,10.0
House,22500000,Askari,Lahore,5,4,10.0
Flat,3200000,Mozang,Lahore,2,2,3.0
House,8500000,Abdullahpur,Faisalabad,3,4,5.0
Flat,10500000,Askari 7,Rawalpindi,4,3,10.0
House,25000000,Askari 10,Rawalpindi,4,5,10.0
Flat,11500000,Askari 4,Rawalpindi,4,3,10.0
Flat,9800000,Askari 3,Rawalpindi,4,3,10.0
Flat,9800000,Askari 2,Rawalpindi,4,3,10.0
Flat,3000000,Bahria Town Rawalpindi,Rawalpindi,1,1,1.5
House,21000000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
House,22500000,Askari 7,Rawalpindi,4,3,10.0
House,25000000,Westridge,Rawalpindi,4,3,11.0
House,22500000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
House,40000000,Bahria Town Rawalpindi,Rawalpindi,7,6,20.0
House,38000000,Bahria Town Rawalpindi,Rawalpindi,6,5,20.0
Flat,10000000,Askari 1,Rawalpindi,3,3,10.7
House,22500000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
House,40000000,Bahria Town Rawalpindi,Rawalpindi,7,6,20.0
House,42000000,Bahria Town Rawalpindi,Rawalpindi,7,6,20.0
Flat,30500000,DHA Defence,Karachi,1,1,5.5
Flat,6000000,Bahria Town Karachi,Karachi,2,0,4.2
House,20000000,Bahria Town Karachi,Karachi,3,3,8.0
House,14500000,Bahria Town Karachi,Karachi,5,5,14.0
Flat,22500000,DHA Defence,Karachi,3,3,8.0
House,21000000,Bahria Town Karachi,Karachi,3,3,8.0
Flat,8500000,Jinnah Avenue,Karachi,3,3,8.0
Flat,25000000,DHA Defence,Karachi,3,3,8.0
Flat,3760000,PAF Housing Scheme,Karachi,2,2,5.2
Flat,30000000,Gulshan-e-Iqbal Town,Karachi,2,3,6.7
Flat,5000000,E-11,Islamabad,2,2,4.0
Flat,3600000,E-11,Islamabad,1,1,3.1
Flat,4800000,E-11,Islamabad,2,2,4.0
House,14000000,G-13,Islamabad,5,5,4.0
House,14500000,Ghauri Town,Islamabad,5,4,7.0
House,19000000,G-11,Islamabad,5,5,5.6
House,6500000,DHA Defence,Islamabad,3,3,8.0
House,18500000,DHA Defence,Islamabad,4,3,10.0
House,15500000,PWD Housing Scheme,Islamabad,5,5,10.0
Flat,7000000,G-11,Islamabad,1,2,4.0
Flat,27900000,Jinnah Avenue,Islamabad,2,2,6.9
Flat,18400000,Jinnah Avenue,Islamabad,1,1,4.3
Flat,27100000,Jinnah Avenue,Islamabad,2,2,6.6
Flat,9900000,E-11,Islamabad,3,3,7.6
House,10500000,Kuri Road,Islamabad,4,3,8.0
House,14500000,G-11,Islamabad,3,4,4.4
Flat,4800000,Bahria Town,Islamabad,1,1,2.9
House,13000000,Pakistan Town,Islamabad,4,4,12.0
Flat,12500000,Gulberg,Islamabad,2,2,6.9
House,9000000,Chatha Bakhtawar,Islamabad,4,4,5.0
Flat,5656000,Bahria Town,Islamabad,2,2,3.6
Flat,5800000,E-11,Islamabad,2,2,4.1
Flat,42000000,F-11,Islamabad,4,4,16.4
House,8000000,Model Town,Lahore,3,2,3.0
House,17000000,Sultan Pura,Lahore,4,5,7.0
House,39500000,DHA Defence,Lahore,7,5,20.0
House,16500000,Gulberg,Lahore,4,4,5.0
Flat,13000000,Askari,Lahore,3,3,10.1
House,34500000,Gulberg,Lahore,5,4,14.0
House,30000000,T & T Aabpara Housing Society,Lahore,6,5,20.0
House,42000000,DHA Defence,Lahore,6,5,20.0
House,42800000,DHA Defence,Lahore,6,5,20.0
House,4500000,Al Faisal Town,Lahore,3,3,2.0
House,13500000,T & T Aabpara Housing Society,Lahore,5,5,10.0
Flat,7000000,Askari,Lahore,2,2,6.0
House,9000000,Gulshan-e-Ravi,Lahore,4,3,3.0
Flat,5100000,Bahria Town,Lahore,1,1,2.0
House,12500000,Bahria Town,Lahore,3,3,8.0
House,12500000,Canal Garden,Lahore,3,2,10.0
House,30000000,Muslim Nagar Housing Scheme,Lahore,5,5,24.0
House,15500000,Tricon Village,Lahore,5,3,10.0
House,17600000,Bahria Town,Lahore,6,5,10.0
House,13700000,Al Faisal Town,Lahore,6,5,13.0
House,34000000,PCSIR Housing Scheme,Lahore,5,5,20.0
House,11500000,Pak Arab Housing Society,Lahore,4,3,5.0
House,42500000,DHA Defence,Lahore,6,5,20.0
House,10000000,Pak Arab Housing Society,Lahore,2,2,5.0
House,11500000,Pak Arab Housing Society,Lahore,4,3,5.0
House,18800000,State Life Housing Society,Lahore,5,4,10.0
House,11000000,Bahria Town,Lahore,3,3,5.0
House,23600000,DHA Defence,Lahore,6,4,10.0
House,10900000,DHA 11 Rahbar,Lahore,4,4,5.0
House,5600000,Shershah Colony - Raiwind Road,Lahore,4,3,3.0
House,33000000,DHA Defence,Lahore,5,4,10.0
House,29500000,DHA Defence,Lahore,5,4,10.0
House,7900000,Jaranwala Road,Lahore,4,3,10.0
House,8900000,Muslim Town,Faisalabad,5,4,5.0
House,12500000,Wapda City,Faisalabad,5,4,10.0
House,4500000,Abdullahpur,Faisalabad,3,3,3.0
House,17500000,Askari 11,Rawalpindi,6,4,10.0
House,23500000,Bahria Town Rawalpindi,Rawalpindi,6,5,11.0
Flat,11500000,Askari 14,Rawalpindi,4,3,10.0
House,13000000,Adiala Road,Rawalpindi,4,4,20.0
House,10500000,Bahria Town Rawalpindi,Rawalpindi,3,3,8.0
House,38000000,Bahria Town Rawalpindi,Rawalpindi,6,5,20.0
Flat,11000000,Askari 14,Rawalpindi,4,3,10.0
House,13000000,Al-Noor Colony,Rawalpindi,5,5,7.0
House,40000000,Bahria Town Rawalpindi,Rawalpindi,7,6,20.0
Flat,35100000,Cantt,Karachi,3,3,12.2
House,12500000,Northern Bypass,Karachi,5,4,11.0
House,9205000,Fazaia Housing Scheme,Karachi,4,3,11.0
Flat,6100000,Gulshan-e-Iqbal Town,Karachi,2,2,3.7
Flat,9500000,North Nazimabad,Karachi,4,3,6.0
Flat,3500000,Abul Hassan Isphani Road,Karachi,3,5,5.1
House,40000000,New Karachi,Karachi,5,4,4.8
